Asset1,Asset2,Score,P-Value
AAPLm,MAm,-3.458259707002061,0.0362793314508534
AAPLm,MCDm,-3.3657887807872067,0.04629491404551939
AAPLm,SEKJPYm,-4.684605088458819,0.000599358860876189
AMDm,GOOGLm,-3.3587115661072464,0.04714776541334546
AMDm,MSFTm,-3.42956833013319,0.03917086409409779
AMDm,USTECm,-3.7390958485180397,0.016309195211350446
AUDPLNm,DKKPLNm,-4.653980168095338,0.0006762695419255685
AUDPLNm,NZDPLNm,-3.4952044237037123,0.03282287991371137
AUDZARm,NZDZARm,-3.3864912715309257,0.043873186356515215
AUDZARm,XAUAUDm,-4.443247829184577,0.001515713391277366
AUDZARm,XAUEURm,-4.059434498054499,0.005897406640002465
AUDZARm,XAUGBPm,-4.7683709867706625,0.0004289228762134118
AVGOm,LLYm,-3.3757758613982336,0.04511317014693291
AVGOm,PLNJPYm,-4.620145272270065,0.000771992087423857
BAm,TMEm,-4.234946416240679,0.003227077597500838
CADNOKm,CHFNOKm,-3.8037937887943003,0.01339881646449722
CADNOKm,CHFPLNm,-3.723644862285026,0.017081479686350393
CADNOKm,CHFSEKm,-4.81666312463886,0.0003526664321017032
CADNOKm,CHFZARm,-4.377438076321986,0.0019333256405096168
CADNOKm,EURTRYm,-4.9754688633615585,0.00018261440011657927
CADNOKm,LLYm,-4.804243398917967,0.0003709490378531319
CADNOKm,USDTRYm,-5.176248941249755,7.706821480272268e-05
CADNOKm,VRTXm,-5.223467235110321,6.261615053343295e-05
CADNOKm,XAUAUDm,-4.806230131770541,0.0003679653859912723
CADNOKm,XOMm,-4.699764420813248,0.0005644102045942304
CADPLNm,DKKPLNm,-4.340736837674603,0.0022102887918129645
CADPLNm,GBPPLNm,-3.4390391735596313,0.0381957269019114
CADPLNm,UKOILm,-5.025533322553405,0.00014773279378455767
CADPLNm,UNHm,-4.622580955191435,0.000764697079494497
CHFNOKm,CHFZARm,-5.217636141677162,6.424893077144282e-05
CHFNOKm,EDUm,-3.4556620044607618,0.036533505641791746
CHFNOKm,EURTRYm,-3.4128969605209405,0.04093807375541217
CHFNOKm,GBPNOKm,-3.352925687555438,0.04785461530636281
CHFNOKm,GBPZARm,-4.124553947960825,0.004732670334708369
CHFNOKm,LLYm,-3.4019299088560846,0.0421365681774792
CHFNOKm,NZDNOKm,-5.003265577803898,0.00016238136241993365
CHFNOKm,USDTRYm,-3.3538188519041903,0.047744931319600024
CHFNOKm,VRTXm,-3.927527777837554,0.009085072874392659
CHFNOKm,XAUAUDm,-4.253989035058021,0.0030170452684051613
CHFPLNm,CADNOKm,-4.001884352159281,0.007137005814060634
CHFPLNm,COSTm,-4.976950730233204,0.000181477760356704
CHFPLNm,DKKPLNm,-3.3558183474206773,0.047500138189386865
CHFPLNm,EURTRYm,-4.677385662298278,0.0006167098834242721
CHFPLNm,MCDm,-5.152149848875245,8.562593930552119e-05
CHFPLNm,REGNm,-5.250640458141765,5.5518078168219835e-05
CHFPLNm,UNHm,-6.472275008039071,1.4555673693388319e-07
CHFPLNm,USDTRYm,-4.905785954883171,0.0002444128539017614
CHFPLNm,XAUEURm,-5.637781381203859,9.406230844148609e-06
CHFPLNm,XAUGBPm,-5.0619762724170645,0.0001264417892666103
CHFPLNm,XOMm,-6.555043049677652,9.41902311374995e-08
CHFSEKm,AVGOm,-3.358613219670805,0.047159707708509455
CHFSEKm,CADNOKm,-4.263581681378247,0.002916075329197994
CHFSEKm,EURSEKm,-4.5162922680117275,0.0011513013005939993
CHFSEKm,EURTRYm,-3.872069666839434,0.010835293661426168
CHFSEKm,LLYm,-3.7359734294941207,0.01646274278436156
CHFSEKm,MXNJPYm,-4.138466505430563,0.004512791277538502
CHFSEKm,REGNm,-3.9943773702891026,0.007314974375110859
CHFSEKm,USDTRYm,-4.118444699392253,0.00483227447542721
CHFSEKm,VRTXm,-5.952029438321951,2.0588887465029253e-06
CHFZARm,CADNOKm,-3.775323108355858,0.01461761211070652
CHFZARm,CHFNOKm,-5.1012207528464755,0.00010680033368619004
CHFZARm,GBPNOKm,-4.252359543964844,0.003034513226222266
CHFZARm,GBPZARm,-3.374619647483737,0.04524868804833575
CHFZARm,NZDNOKm,-5.699984183237439,7.000312172906515e-06
CHFZARm,XAUAUDm,-4.0111393633892884,0.006922980961907801
Cm,EBAYm,-3.7013392383759642,0.018252885204256462
COSTm,CHFPLNm,-4.134685108465307,0.004571612248226
COSTm,UNHm,-3.528738842020932,0.029931381145114996
DE30m,JPMm,-3.437961629804054,0.038305635143913025
DE30m,ORCLm,-3.394008998763679,0.04302025761170501
DKKPLNm,AUDPLNm,-6.60324445481327,7.298485190951039e-08
DKKPLNm,CADPLNm,-6.505511730986415,1.222667908215831e-07
DKKPLNm,CHFPLNm,-5.955895157509759,2.019952725751344e-06
DKKPLNm,GBPPLNm,-5.043610781498081,0.00013677637371994742
DKKZARm,CHFNOKm,-3.580825233509206,0.025871954081908264
DKKZARm,EURZARm,-12.481547929860726,3.3718994385368573e-22
DKKZARm,GBPZARm,-3.4641530211118585,0.035708217216005055
DKKZARm,NZDZARm,-3.5026762237704117,0.032158883392345614
DKKZARm,XAUAUDm,-3.7689272071711546,0.014904509363039647
EBAYm,Cm,-3.6015975639383444,0.024390304221484457
EBAYm,NKEm,-3.3377187952596232,0.04975421664893676
EDUm,PLNJPYm,-3.8009995572770707,0.013514320094112965
EURSEKm,CHFSEKm,-4.8183688609324555,0.0003502231425838835
EURSEKm,GBPSEKm,-5.431942951378494,2.4514108964257254e-05
EURSEKm,VRTXm,-4.922676289394291,0.00022782778754076041
EURTRYm,CADNOKm,-4.001099577190146,0.007155425861750223
EURTRYm,CHFPLNm,-3.427573152061515,0.03937893159358568
EURTRYm,CHFSEKm,-3.336144774306766,0.04995433560688454
EURTRYm,LLYm,-3.649721075886934,0.021236271055563048
EURTRYm,PLNJPYm,-4.103697362927589,0.005080632110238027
EURTRYm,REGNm,-3.3731232599352325,0.04542457822848522
EURZARm,CHFNOKm,-3.535586604731441,0.029368430595240785
EURZARm,DKKZARm,-12.463805603754507,3.680760480169682e-22
EURZARm,GBPZARm,-3.3417025982550492,0.049250668172362774
EURZARm,NZDZARm,-3.369366510647208,0.04586865792661618
GBPNOKm,CHFNOKm,-4.098677269552259,0.005167790369235969
GBPNOKm,CHFZARm,-4.907680044749373,0.0002424974313023929
GBPNOKm,GBPZARm,-5.128991549835507,9.470160329876128e-05
GBPNOKm,NZDNOKm,-4.086707926766292,0.005381115981210504
GBPPLNm,AUDPLNm,-4.371848156858693,0.0019733215773633534
GBPPLNm,CADPLNm,-4.819743918026722,0.00034826519258599316
GBPPLNm,DKKPLNm,-3.7413502541060835,0.016199116397428975
GBPPLNm,NZDPLNm,-3.977887766564475,0.007720022675355687
GBPPLNm,WFCm,-7.943801458554611,4.1807616090375494e-11
GBPSEKm,CHFSEKm,-3.724312078342881,0.017047479239195404
GBPSEKm,EURSEKm,-5.743140537965506,5.694053653492805e-06
GBPSEKm,MXNJPYm,-5.401152629032683,2.8214888313337437e-05
GBPZARm,CHFNOKm,-4.483099829858268,0.0013053694190279035
GBPZARm,CHFZARm,-3.864348998546809,0.011101432810540183
GBPZARm,DKKZARm,-3.561392469455665,0.027327477593623337
GBPZARm,EURZARm,-3.4957051472657383,0.0327780213752346
GBPZARm,GBPNOKm,-4.928584202535956,0.00022228342627269207
GBPZARm,XAUAUDm,-4.533663486822752,0.0010776111726927854
GOOGLm,US500m,-3.9454321481512586,0.008576751136430678
JP225m,SEKJPYm,-4.9790931744051,0.0001798463396862415
JPMm,USTECm,-3.408735085368587,0.04138949239652862
LINm,ORCLm,-3.341274833480842,0.04930453521814044
LINm,PLNJPYm,-3.795283813761727,0.013753336330511231
LINm,REGNm,-3.46332354021094,0.035788139739644835
LLYm,CADNOKm,-3.714589015349803,0.017548867387440176
LLYm,EURTRYm,-3.5641906042538136,0.027113662453800907
LLYm,PLNJPYm,-4.967828599647375,0.0001885830971493671
MAm,AAPLm,-3.7791861240878033,0.014446700897969046
MAm,MCDm,-3.60655164411602,0.024047944573575574
MAm,MSFTm,-3.6199254321488232,0.023144368595963975
MAm,ORCLm,-3.533545721606749,0.029535257004186594
MAm,SEKJPYm,-4.313631110826685,0.0024379329456628287
MAm,USTECm,-3.516012670035484,0.03100205617478636
MAm,Vm,-4.400039491731055,0.001779155756291549
MAm,XAGAUDm,-4.828474964499463,0.000336072792615617
MAm,XAGEURm,-4.749731962450373,0.0004623278138025214
MAm,XAGGBPm,-4.420384525169578,0.0016502185304615705
MAm,XAGUSDm,-3.596377243063789,0.024755603718105666
MAm,XAUUSDm,-3.8400880527854646,0.011976029158672841
MCDm,AAPLm,-3.4073207583524763,0.041543840857811945
MCDm,CHFPLNm,-4.449640360948975,0.0014799734516613404
MCDm,MAm,-3.3430623318293997,0.049079763167892566
MCDm,SEKJPYm,-4.204437053279354,0.003591751713836239
MSFTm,SEKJPYm,-4.199750854074218,0.0036510013726741217
MXNJPYm,CHFSEKm,-3.7481785244858075,0.01586967710078428
MXNJPYm,GBPSEKm,-4.437212867180393,0.0015501898369935188
MXNJPYm,PLNJPYm,-5.094568482368421,0.00010991058656351566
NOKJPYm,UKOILm,-5.448690264424702,2.2702501853372028e-05
NOKJPYm,USOILm,-5.278064756176615,4.914087996503998e-05
NZDNOKm,CADNOKm,-4.3318138902663925,0.0022829601835869526
NZDNOKm,CHFNOKm,-6.307043516122969,3.4333426258322363e-07
NZDNOKm,CHFZARm,-6.8923293408471435,1.5447512467001782e-08
NZDNOKm,GBPNOKm,-5.131133329038474,9.382507571443936e-05
NZDPLNm,AUDPLNm,-4.037297021517752,0.006349071431033438
NZDSEKm,GBPSEKm,-4.12014156032571,0.004804419232480892
NZDZARm,AUDZARm,-3.577105472130478,0.02614529253490182
NZDZARm,CHFZARm,-3.706804206390257,0.017959569331688623
NZDZARm,DKKZARm,-3.7898977233429525,0.013981980503104197
NZDZARm,EURZARm,-3.745154761091289,0.016014828868655843
NZDZARm,GBPZARm,-3.5368711416117247,0.02926384274784971
NZDZARm,XAUAUDm,-4.679663752455549,0.0006111843463609081
ORCLm,LINm,-3.5409180266555427,0.028936420002697225
ORCLm,SEKJPYm,-3.9974174378801592,0.007242426416016435
PLNJPYm,AVGOm,-4.968934428928774,0.00018770785627388457
PLNJPYm,EDUm,-4.881320461339762,0.00027048168164909
PLNJPYm,EURTRYm,-4.497855515653933,0.0012346446464314403
PLNJPYm,LINm,-4.101079818772222,0.005125909229559706
PLNJPYm,LLYm,-5.3639181379394705,3.34121299455448e-05
PLNJPYm,MXNJPYm,-5.359127424450514,3.4144287278328706e-05
PLNJPYm,USDTRYm,-4.394442945079555,0.0018162304316918637
PLNJPYm,VRTXm,-4.264170101267385,0.0029099842037575998
REGNm,CHFPLNm,-4.483031012211755,0.001305707945882598
REGNm,CHFSEKm,-3.893086501324343,0.010139417858795468
REGNm,COSTm,-3.3426262893779133,0.049134516067532316
REGNm,EURTRYm,-3.7612833513609654,0.015253887903297474
REGNm,LINm,-3.7377109220095384,0.016377144197245685
REGNm,LLYm,-3.422917198172446,0.03986808319341422
REGNm,USDTRYm,-3.8698031432072213,0.010912826917600892
REGNm,XOMm,-3.8072433534768777,0.01325742947664705
SEKJPYm,AAPLm,-5.172853603562646,7.822229866508577e-05
SEKJPYm,JP225m,-5.44553755970803,2.30333668799215e-05
SEKJPYm,MAm,-4.610286145193414,0.0008021935331083313
SEKJPYm,MCDm,-4.708617401458546,0.0005448979585549229
SEKJPYm,MSFTm,-4.8356301848991,0.0003263834875441559
SEKJPYm,ORCLm,-4.662959335488824,0.000652807749417849
SEKJPYm,US30m,-4.6392059947470905,0.0007166067383547758
SEKJPYm,US500m,-4.551685149098644,0.0010058394065700024
TMEm,BAm,-4.316274851937914,0.002414812005755722
UKOILm,CADPLNm,-4.2647175664877865,0.002904327550523723
UKOILm,NOKJPYm,-4.966129569613783,0.00018993541714167246
UKOILm,USOILm,-5.165037202273363,8.094236510299701e-05
UNHm,CADPLNm,-3.5805327020919475,0.02589336072888736
UNHm,CHFPLNm,-5.813238733043664,4.06032583139987e-06
UNHm,COSTm,-3.5385077025854916,0.029131053810471274
US30m,GOOGLm,-3.5536267826545904,0.027928468372520457
US30m,JPMm,-3.531448821188449,0.02970750423404003
US30m,SEKJPYm,-4.48958417125816,0.0012738364852039905
US30m,XAGEURm,-3.41846331255084,0.04034075657618081
US500m,AMDm,-3.3775950976884612,0.044900622322013146
US500m,GOOGLm,-4.15389424579119,0.004279897869026764
US500m,JPMm,-3.4642027499022907,0.035703430512820294
US500m,SEKJPYm,-4.282812151299458,0.002722968658615374
USDTRYm,CADNOKm,-4.265389229411497,0.002897401463817353
USDTRYm,CHFPLNm,-3.7794007133875143,0.014437258756294728
USDTRYm,CHFSEKm,-3.639811385197088,0.021855145524071102
USDTRYm,LLYm,-3.354716974916556,0.04763484782405498
USDTRYm,PLNJPYm,-4.009916724000149,0.006950918498804904
USDTRYm,REGNm,-3.501585682198404,0.03225507982779394
USOILm,NOKJPYm,-4.830904092811705,0.0003327532208118944
USOILm,UKOILm,-5.199209800177707,6.968125541023681e-05
USTECm,AMDm,-3.7489041703480415,0.01583501604764886
USTECm,JPMm,-3.479579303720181,0.034249083201563515
USTECm,MAm,-3.4487187326453332,0.03722024787100579
USTECm,Vm,-3.4849409963239233,0.03375388874763364
Vm,MAm,-4.354223413575626,0.0021045032515270897
Vm,MSFTm,-3.582932214758039,0.02571822003854899
Vm,ORCLm,-3.5401879173388973,0.028995258704183523
Vm,USTECm,-3.4976807105100507,0.03260154276696019
Vm,XAGAUDm,-4.46413317167024,0.0014018317265211155
Vm,XAGEURm,-4.242127702412005,0.00314634090083651
Vm,XAGGBPm,-3.9639526981272666,0.008077952521647358
Vm,XAGUSDm,-3.4647298791633694,0.03565272433965689
Vm,XAUUSDm,-3.602941030111525,0.024297048875818596
VRTXm,CADNOKm,-4.511128731962815,0.001174097122187207
VRTXm,CHFNOKm,-3.6911816667718744,0.018809203831505687
VRTXm,CHFSEKm,-5.766554833694883,5.087761512938806e-06
VRTXm,EURSEKm,-4.427906698079647,0.001604786721582613
VRTXm,PLNJPYm,-4.053975303798717,0.0060059970240144145
WFCm,GBPPLNm,-6.645430297712041,5.8328067601168144e-08
XAGAUDm,MAm,-4.922022502658232,0.00022844935698634224
XAGAUDm,USTECm,-3.4952562096125193,0.03281823813413287
XAGAUDm,Vm,-4.638377291090989,0.000718934984586736
XAGAUDm,XAUUSDm,-3.5044931652809943,0.0319991525306225
XAGEURm,AAPLm,-3.662929965248592,0.020435055757747116
XAGEURm,MAm,-4.901025697035854,0.00024929036607297645
XAGEURm,MCDm,-3.5187267376355904,0.030771021385290517
XAGEURm,US30m,-3.51871557338673,0.030771968729910427
XAGEURm,US500m,-3.486987584792531,0.0335664754531646
XAGEURm,USTECm,-3.5391311498640303,0.029080603482258605
XAGEURm,Vm,-4.407981683482931,0.001727747223651449
XAGGBPm,MAm,-4.596894986333179,0.0008449934575352561
XAGGBPm,Vm,-4.18286003089322,0.0038720714458209855
XAGGBPm,XAUUSDm,-3.3401107941854424,0.049451364689625084
XAGUSDm,MAm,-3.811034786096353,0.013103555768844007
XAGUSDm,Vm,-3.6873180027256907,0.019024667526152138
XAUAUDm,AUDZARm,-4.178591284421868,0.00392984920037669
XAUAUDm,CADNOKm,-4.364296348381799,0.0020285735011628804
XAUAUDm,CHFNOKm,-4.225735453631826,0.0033334201964646294
XAUAUDm,CHFZARm,-4.210430571671028,0.003517258339010326
XAUAUDm,DKKZARm,-3.607411083406218,0.023988975787216246
XAUAUDm,GBPZARm,-4.297316406228574,0.0025851974803470915
XAUAUDm,NZDZARm,-4.281213886879308,0.002738557147012302
XAUEURm,AUDZARm,-3.8445690385692988,0.011810022326466472
XAUEURm,CHFPLNm,-5.139192361540569,9.059594146013042e-05
XAUGBPm,AUDZARm,-4.57501494758047,0.0009195629111334102
XAUGBPm,CHFNOKm,-3.4073083705479825,0.04154519488468347
XAUGBPm,CHFPLNm,-4.5021702296404635,0.001214649891179709
XAUGBPm,CHFZARm,-3.471450793843718,0.03501152776250634
XAUUSDm,MAm,-3.947543896250285,0.008518512334501243
XAUUSDm,Vm,-3.7992463137787422,0.013587242003313214
XAUUSDm,XAGAUDm,-3.548540946559765,0.02832816797506664
XOMm,CADNOKm,-4.03257072693274,0.006449467791849699
XOMm,CHFPLNm,-5.929070309627573,2.305650786826825e-06
XOMm,REGNm,-3.7978611898253374,0.013645098792593511
